img_original,triangle_id,camera_view,object_in_square,square_edge_occlusion,triangle_edge_occlusion,triangle_vertex_occlusion
triangles_original/001_P0.jpg,001,planar,none,none,none,none
triangles_original/001_P1.jpg,001,planar,rubiks cube,none,none,none
triangles_original/001_T0.jpg,001,tilted,none,none,none,none
triangles_original/001_T1.jpg,001,tilted,rubiks cube,none,none,none
triangles_original/002_P0.jpg,002,planar,none,none,none,none
triangles_original/002_P1.jpg,002,planar,rubiks cube,none,none,none
triangles_original/002_T0.jpg,002,tilted,none,none,none,none
triangles_original/002_T1.jpg,002,tilted,rubiks cube,none,none,none
triangles_original/003_P0.jpg,003,planar,none,none,none,none
triangles_original/003_P1.jpg,003,planar,rubiks cube,none,partial,none
triangles_original/003_T0.jpg,003,tilted,none,none,none,none
triangles_original/003_T1.jpg,003,tilted,rubiks cube,none,none,none
triangles_original/004_P0.jpg,004,planar,none,none,none,none
triangles_original/004_P1.jpg,004,planar,glass,partial,none,none
triangles_original/004_T0.jpg,004,tilted,none,none,none,none
triangles_original/004_T1.jpg,004,tilted,glass,partial,none,none
triangles_original/005_P0.jpg,005,planar,none,none,none,none
triangles_original/005_P1.jpg,005,planar,glass,none,none,none
triangles_original/005_T0.jpg,005,tilted,none,none,none,none
triangles_original/005_T1.jpg,005,tilted,glass,partial,none,none
triangles_original/006_P0.jpg,006,planar,none,none,none,none
triangles_original/006_P1.jpg,006,planar,glass,none,none,none
triangles_original/006_T0.jpg,006,tilted,none,none,none,none
triangles_original/006_T1.jpg,006,tilted,glass,partial,partial,none
triangles_original/007_P0.jpg,007,planar,none,none,none,none
triangles_original/007_P1.jpg,007,planar,iron,none,none,none
triangles_original/007_T0.jpg,007,tilted,none,none,none,none
triangles_original/007_T1.jpg,007,tilted,iron,none,partial,complete
triangles_original/008_P0.jpg,008,planar,none,none,none,none
triangles_original/008_P1.jpg,008,planar,iron,none,none,none
triangles_original/008_T0.jpg,008,tilted,none,none,none,none
triangles_original/008_T1.jpg,008,tilted,iron,none,none,none
triangles_original/009_P0.jpg,009,planar,none,none,none,none
triangles_original/009_P1.jpg,009,planar,iron,none,none,none
triangles_original/009_T0.jpg,009,tilted,none,none,none,none
triangles_original/009_T1.jpg,009,tilted,iron,partial,none,none
triangles_original/010_P0.jpg,010,planar,none,none,none,none
triangles_original/010_P1.jpg,010,planar,book,none,none,none
triangles_original/010_T0.jpg,010,tilted,none,none,none,none
triangles_original/010_T1.jpg,010,tilted,book,none,none,none
triangles_original/011_P0.jpg,011,planar,none,none,none,none
triangles_original/011_P1.jpg,011,planar,book,none,partial,none
triangles_original/011_T0.jpg,011,tilted,none,none,none,none
triangles_original/011_T1.jpg,011,tilted,book,none,partial,none
triangles_original/012_P0.jpg,012,planar,none,none,none,none
triangles_original/012_P1.jpg,012,planar,book,none,none,none
triangles_original/012_T0.jpg,012,tilted,none,none,none,none
triangles_original/012_T1.jpg,012,tilted,book,none,none,none
triangles_original/013_P0.jpg,013,planar,none,none,none,none
triangles_original/013_P1.jpg,013,planar,kettle,none,none,none
triangles_original/013_T0.jpg,013,tilted,none,none,none,none
triangles_original/013_T1.jpg,013,tilted,kettle,none,partial,none
triangles_original/014_P0.jpg,014,planar,none,none,none,none
