img_original,triangle_id,camera_view,object_in_square,img_marked,img_width_px,img_height_px,Ax_px,Ay_px,Bx_px,By_px,Cx_px,Cy_px,AB_px,BC_px,CA_px,angle_A_deg,angle_B_deg,angle_C_deg,side_type,angle_type,ab_over_ac,abs_b_minus_c_deg,max_over_min_side,angle_range_deg
triangles_original/001_P0.jpg,001,planar,none,triangles_marked/001_P0_marked.jpg,1024.0,768.0,698.0,237.0,300.0,278.0,466.0,638.0,400.1062,396.4291,463.2764,54.0667,71.1266,54.8066,isosceles,acute,0.8636,16.32,1.1686,17.0599
triangles_original/001_P1.jpg,001,planar,rubiks cube,triangles_marked/001_P1_marked.jpg,1024.0,768.0,678.0,228.0,281.0,268.0,450.0,625.0,399.01,394.981,457.8133,54.3775,70.4211,55.2014,isosceles,acute,0.8716,15.2196,1.1591,16.0436
triangles_original/001_T0.jpg,001,tilted,none,triangles_marked/001_T0_marked.jpg,1024.0,768.0,576.0,415.0,668.0,255.0,364.0,111.0,184.5644,336.3807,370.6211,64.7896,85.4473,29.7631,scalene,acute,0.498,55.6842,2.0081,55.6842
triangles_original/001_T1.jpg,001,tilted,rubiks cube,triangles_marked/001_T1_marked.jpg,1024.0,768.0,587.0,424.0,676.0,263.0,372.0,126.0,183.962,333.4441,367.4629,64.7432,85.3255,29.9314,scalene,acute,0.5006,55.3941,1.9975,55.3941
triangles_original/002_P0.jpg,002,planar,none,triangles_marked/002_P0_marked.jpg,1024.0,768.0,755.0,309.0,460.0,333.0,629.0,600.0,295.9747,315.9905,317.1072,61.9368,62.319,55.7442,isosceles,acute,0.9334,6.5747,1.0714,6.5747
triangles_original/002_P1.jpg,002,planar,rubiks cube,triangles_marked/002_P1_marked.jpg,1024.0,768.0,749.0,311.0,454.0,333.0,623.0,600.0,295.8192,315.9905,315.2729,62.1785,61.9329,55.8887,isosceles,acute,0.9383,6.0442,1.0682,6.2898
triangles_original/002_T0.jpg,002,tilted,none,triangles_marked/002_T0_marked.jpg,768.0,1024.0,402.0,244.0,402.0,144.0,186.0,192.0,100.0,221.2691,222.1711,76.4641,77.4712,26.0647,isosceles,acute,0.4501,51.4065,2.2217,51.4065
triangles_original/002_T1.jpg,002,tilted,rubiks cube,triangles_marked/002_T1_marked.jpg,768.0,1024.0,399.0,241.0,396.0,147.0,177.0,193.0,94.0479,223.7789,227.1299,75.9716,79.9657,24.0628,isosceles,acute,0.4141,55.9029,2.415,55.9029
triangles_original/003_P0.jpg,003,planar,none,triangles_marked/003_P0_marked.jpg,768.0,1024.0,127.0,408.0,505.0,250.0,597.0,575.0,409.6926,337.7706,498.7875,42.2455,83.1212,54.6333,scalene,acute,0.8214,28.4879,1.4767,40.8757
triangles_original/003_P1.jpg,003,planar,rubiks cube,triangles_marked/003_P1_marked.jpg,768.0,1024.0,131.0,407.0,512.0,250.0,602.0,579.0,412.0801,341.088,501.423,42.4565,82.9041,54.6395,scalene,acute,0.8218,28.2646,1.4701,40.4476
triangles_original/003_T0.jpg,003,tilted,none,triangles_marked/003_T0_marked.jpg,1024.0,768.0,368.0,151.0,623.0,281.0,631.0,428.0,286.2254,147.2175,381.966,19.4724,120.1277,40.3998,scalene,obtuse,0.7493,79.7279,2.5946,100.6553
triangles_original/003_T1.jpg,003,tilted,rubiks cube,triangles_marked/003_T1_marked.jpg,1024.0,768.0,361.0,132.0,620.0,263.0,627.0,409.0,290.2447,146.1677,384.0378,19.3306,119.5749,41.0945,scalene,obtuse,0.7558,78.4803,2.6274,100.2442
triangles_original/004_P0.jpg,004,planar,none,triangles_marked/004_P0_marked.jpg,1024.0,768.0,391.0,634.0,236.0,254.0,756.0,336.0,410.3962,526.4257,471.1995,72.9608,58.8484,48.1908,scalene,acute,0.871,10.6576,1.2827,24.7699
triangles_original/004_P1.jpg,004,planar,glass,triangles_marked/004_P1_marked.jpg,1024.0,768.0,384.0,633.0,226.0,251.0,747.0,333.0,413.386,527.4135,470.9236,72.8987,58.585,48.5163,scalene,acute,0.8778,10.0687,1.2758,24.3824
triangles_original/004_T0.jpg,004,tilted,none,triangles_marked/004_T0_marked.jpg,768.0,1024.0,112.0,562.0,323.0,414.0,424.0,553.0,257.7305,171.8197,312.1298,33.3944,90.9562,55.6494,scalene,right,0.8257,35.3068,1.8166,57.5618
triangles_original/004_T1.jpg,004,tilted,glass,triangles_marked/004_T1_marked.jpg,768.0,1024.0,107.0,560.0,321.0,415.0,418.0,552.0,258.4976,167.863,311.1029,32.6469,91.1792,56.1739,scalene,right,0.8309,35.0053,1.8533,58.5323
triangles_original/005_P0.jpg,005,planar,none,triangles_marked/005_P0_marked.jpg,768.0,1024.0,366.0,648.0,154.0,398.0,486.0,484.0,327.7865,342.9577,203.2142,76.4912,35.1796,68.3293,scalene,acute,1.613,33.1497,1.6877,41.3116
triangles_original/005_P1.jpg,005,planar,glass,triangles_marked/005_P1_marked.jpg,768.0,1024.0,353.0,653.0,142.0,399.0,477.0,488.0,330.2075,346.6208,206.4001,76.6421,35.4051,67.9528,scalene,acute,1.5998,32.5476,1.6794,41.237
triangles_original/005_T0.jpg,005,tilted,none,triangles_marked/005_T0_marked.jpg,1024.0,768.0,486.0,269.0,724.0,365.0,376.0,293.0,256.632,355.3702,112.5877,145.7247,10.2779,23.9974,scalene,obtuse,2.2794,13.7195,3.1564,135.4469
triangles_original/005_T1.jpg,005,tilted,glass,triangles_marked/005_T1_marked.jpg,1024.0,768.0,489.0,281.0,726.0,381.0,382.0,300.0,257.2334,353.4077,108.6738,147.0541,9.6271,23.3189,scalene,obtuse,2.367,13.6918,3.252,137.427
triangles_original/006_P0.jpg,006,planar,none,triangles_marked/006_P0_marked.jpg,1024.0,768.0,315.0,120.0,479.0,640.0,841.0,131.0,545.2486,624.5999,526.115,71.2975,52.9249,55.7776,scalene,acute,1.0364,2.8528,1.1872,18.3727
triangles_original/006_P1.jpg,006,planar,glass,triangles_marked/006_P1_marked.jpg,1024.0,768.0,321.0,127.0,485.0,643.0,841.0,133.0,541.4351,621.9614,520.0346,71.7071,52.5483,55.7445,scalene,acute,1.0412,3.1962,1.196,19.1588
triangles_original/006_T0.jpg,006,tilted,none,triangles_marked/006_T0_marked.jpg,768.0,1024.0,665.0,499.0,328.0,268.0,555.0,708.0,408.5707,495.105,236.18,96.6705,28.2813,55.0482,scalene,obtuse,1.7299,26.7669,2.0963,68.3892
triangles_original/006_T1.jpg,006,tilted,glass,triangles_marked/006_T1_marked.jpg,768.0,1024.0,653.0,516.0,323.0,286.0,542.0,721.0,402.2437,487.0175,233.1223,96.4414,28.4018,55.1568,scalene,obtuse,1.7255,26.755,2.0891,68.0396
triangles_original/007_P0.jpg,007,planar,none,triangles_marked/007_P0_marked.jpg,1024.0,768.0,292.0,497.0,438.0,634.0,796.0,137.0,200.2124,612.5137,619.3674,78.7162,82.5875,18.6963,isosceles,acute,0.3233,63.8913,3.0936,63.8913
triangles_original/007_P1.jpg,007,planar,iron,triangles_marked/007_P1_marked.jpg,1024.0,768.0,282.0,507.0,429.0,637.0,774.0,134.0,196.2371,609.9459,617.4083,78.6549,82.9576,18.3875,isosceles,acute,0.3178,64.5701,3.1462,64.5701
triangles_original/007_T0.jpg,007,tilted,none,triangles_marked/007_T0_marked.jpg,1024.0,768.0,486.0,157.0,353.0,101.0,686.0,617.0,144.3087,614.1213,501.5974,136.3322,34.3302,9.3376,scalene,obtuse,0.2877,24.9927,4.2556,126.9947
triangles_original/007_T1.jpg,007,tilted,iron,triangles_marked/007_T1_marked.jpg,1024.0,768.0,489.0,152.0,355.0,95.0,687.0,612.0,145.6194,614.4209,500.8034,136.3323,34.2492,9.4185,scalene,obtuse,0.2908,24.8307,4.2194,126.9138
triangles_original/008_P0.jpg,008,planar,none,triangles_marked/008_P0_marked.jpg,1024.0,768.0,315.0,111.0,450.0,637.0,703.0,433.0,543.0479,325.0,504.2103,35.9163,65.5144,78.5692,scalene,acute,1.077,13.0548,1.6709,42.6529
triangles_original/008_P1.jpg,008,planar,iron,triangles_marked/008_P1_marked.jpg,1024.0,768.0,317.0,107.0,457.0,628.0,709.0,422.0,539.4822,325.4843,502.8807,36.1748,65.7762,78.049,scalene,acute,1.0728,12.2728,1.6575,41.8742
triangles_original/008_T0.jpg,008,tilted,none,triangles_marked/008_T0_marked.jpg,1024.0,768.0,878.0,368.0,478.0,70.0,370.0,252.0,498.8026,211.6318,521.0758,23.8234,83.9991,72.1776,scalene,acute,0.9573,11.8215,2.4622,60.1757
triangles_original/008_T1.jpg,008,tilted,iron,triangles_marked/008_T1_marked.jpg,1024.0,768.0,868.0,380.0,473.0,88.0,368.0,265.0,491.2118,205.8009,513.0546,23.5205,84.204,72.2755,scalene,acute,0.9574,11.9285,2.493,60.6834
triangles_original/009_P0.jpg,009,planar,none,triangles_marked/009_P0_marked.jpg,1024.0,768.0,472.0,296.0,680.0,197.0,699.0,446.0,230.3584,249.7238,272.0827,58.9091,68.9109,52.18,scalene,acute,0.8466,16.7308,1.1811,16.7308
triangles_original/009_P1.jpg,009,planar,iron,triangles_marked/009_P1_marked.jpg,1024.0,768.0,467.0,290.0,674.0,196.0,693.0,445.0,227.3434,249.7238,274.0456,58.867,69.9404,51.1926,scalene,acute,0.8296,18.7478,1.2054,18.7478
triangles_original/009_T0.jpg,009,tilted,none,triangles_marked/009_T0_marked.jpg,768.0,1024.0,499.0,462.0,491.0,598.0,321.0,438.0,136.2351,233.4524,179.6107,94.3125,50.1022,35.5853,scalene,obtuse,0.7585,14.5168,1.7136,58.7272
triangles_original/009_T1.jpg,009,tilted,iron,triangles_marked/009_T1_marked.jpg,768.0,1024.0,528.0,463.0,518.0,601.0,347.0,438.0,138.3618,236.2414,182.7184,93.7194,50.5167,35.7639,scalene,obtuse,0.7572,14.7528,1.7074,57.9555
triangles_original/010_P0.jpg,010,planar,none,triangles_marked/010_P0_marked.jpg,1024.0,768.0,468.0,286.0,592.0,623.0,812.0,395.0,359.0891,316.8343,360.8559,52.2174,64.1782,63.6044,isosceles,acute,0.9951,0.5738,1.1389,11.9608
triangles_original/010_P1.jpg,010,planar,book,triangles_marked/010_P1_marked.jpg,1024.0,768.0,465.0,284.0,591.0,626.0,808.0,393.0,364.4722,318.3991,359.9028,52.1457,63.1885,64.6658,isosceles,acute,1.0127,1.4772,1.1447,12.5201
triangles_original/010_T0.jpg,010,tilted,none,triangles_marked/010_T0_marked.jpg,1024.0,768.0,628.0,311.0,291.0,172.0,460.0,429.0,364.5408,307.5874,205.2998,57.4978,34.2572,88.2449,scalene,right,1.7757,53.9877,1.7757,53.9877
triangles_original/010_T1.jpg,010,tilted,book,triangles_marked/010_T1_marked.jpg,1024.0,768.0,643.0,307.0,306.0,170.0,476.0,427.0,363.7829,308.138,205.6429,57.8227,34.3931,87.7842,scalene,acute,1.769,53.3911,1.769,53.3911
triangles_original/011_P0.jpg,011,planar,none,triangles_marked/011_P0_marked.jpg,1024.0,768.0,331.0,317.0,719.0,541.0,567.0,118.0,448.0179,449.4808,308.7021,70.1369,40.236,69.627,isosceles,acute,1.4513,29.391,1.456,29.9009
triangles_original/011_P1.jpg,011,planar,book,triangles_marked/011_P1_marked.jpg,1024.0,768.0,327.0,316.0,712.0,540.0,561.0,120.0,445.4223,446.3194,305.2409,70.1414,40.0337,69.8249,isosceles,acute,1.4592,29.7913,1.4622,30.1077
triangles_original/011_T0.jpg,011,tilted,none,triangles_marked/011_T0_marked.jpg,1024.0,768.0,472.0,170.0,344.0,510.0,731.0,199.0,363.296,496.4776,260.6185,104.2411,30.5841,45.1747,scalene,obtuse,1.394,14.5906,1.905,73.657
triangles_original/011_T1.jpg,011,tilted,book,triangles_marked/011_T1_marked.jpg,1024.0,768.0,477.0,168.0,344.0,507.0,734.0,198.0,364.1566,497.5751,258.745,104.7635,30.1884,45.0481,scalene,obtuse,1.4074,14.8598,1.923,74.5751
triangles_original/012_P0.jpg,012,planar,none,triangles_marked/012_P0_marked.jpg,1024.0,768.0,251.0,472.0,674.0,562.0,534.0,138.0,432.4685,446.5154,437.7728,61.7367,59.7159,58.5474,equilateral,acute,0.9879,1.1685,1.0325,3.1893
triangles_original/012_P1.jpg,012,planar,book,triangles_marked/012_P1_marked.jpg,1024.0,768.0,248.0,482.0,671.0,568.0,530.0,141.0,431.6538,449.6777,442.4986,61.9021,60.2341,57.8638,equilateral,acute,0.9755,2.3702,1.0418,4.0383
triangles_original/012_T0.jpg,012,tilted,none,triangles_marked/012_T0_marked.jpg,1024.0,768.0,440.0,250.0,244.0,297.0,783.0,388.0,201.5564,546.6278,369.7202,144.5988,23.0676,12.3336,scalene,obtuse,0.5452,10.734,2.712,132.2652
triangles_original/012_T1.jpg,012,tilted,book,triangles_marked/012_T1_marked.jpg,1024.0,768.0,447.0,255.0,254.0,299.0,790.0,391.0,197.952,543.8382,368.9783,145.5288,22.5822,11.889,scalene,obtuse,0.5365,10.6932,2.7473,133.6399
