img_original,triangle_id,camera_view,object_in_square,AB_cm,BC_cm,CA_cm,angle_A_deg,angle_B_deg,angle_C_deg,side_type,angle_type,ab_over_ac,abs_b_minus_c_deg,max_over_min_side,angle_range_deg
triangles_original/001_P0.jpg,001,planar,none,70.5,68.5,80.7,53.36,70.97,55.67,isosceles,acute,0.8736,15.2918,1.1781,17.60
triangles_original/001_P1.jpg,001,planar,rubiks cube,70.5,68.5,80.7,53.36,70.97,55.67,isosceles,acute,0.8736,15.2918,1.1781,17.60
triangles_original/001_T0.jpg,001,tilted,none,70.5,68.5,80.7,53.36,70.97,55.67,isosceles,acute,0.8736,15.2918,1.1781,17.60
triangles_original/001_T1.jpg,001,tilted,rubiks cube,70.5,68.5,80.7,53.36,70.97,55.67,isosceles,acute,0.8736,15.2918,1.1781,17.60
triangles_original/002_P0.jpg,002,planar,none,50.3,51.6,53.7,59.38,63.59,57.03,isosceles,acute,0.9367,6.5628,1.0676,6.56
triangles_original/002_P1.jpg,002,planar,rubiks cube,50.3,51.6,53.7,59.38,63.59,57.03,isosceles,acute,0.9367,6.5628,1.0676,6.56
triangles_original/002_T0.jpg,002,tilted,none,50.3,51.6,53.7,59.38,63.59,57.03,isosceles,acute,0.9367,6.5628,1.0676,6.56
triangles_original/002_T1.jpg,002,tilted,rubiks cube,50.3,51.6,53.7,59.38,63.59,57.03,isosceles,acute,0.9367,6.5628,1.0676,6.56
triangles_original/003_P0.jpg,003,planar,none,66.3,57,82.5,43.37,83.63,53.00,scalene,acute,0.8036,30.6271,1.4474,40.27
triangles_original/003_P1.jpg,003,planar,rubiks cube,66.3,57,82.5,43.37,83.63,53.00,scalene,acute,0.8036,30.6271,1.4474,40.27
triangles_original/003_T0.jpg,003,tilted,none,66.3,57,82.5,43.37,83.63,53.00,scalene,acute,0.8036,30.6271,1.4474,40.27
triangles_original/003_T1.jpg,003,tilted,rubiks cube,66.3,57,82.5,43.37,83.63,53.00,scalene,acute,0.8036,30.6271,1.4474,40.27
triangles_original/004_P0.jpg,004,planar,none,66.3,86.7,76.5,74.38,58.19,47.43,scalene,acute,0.8667,10.7554,1.3077,26.95
triangles_original/004_P1.jpg,004,planar,glass,66.3,86.7,76.5,74.38,58.19,47.43,scalene,acute,0.8667,10.7554,1.3077,26.95
triangles_original/004_T0.jpg,004,tilted,none,66.3,86.7,76.5,74.38,58.19,47.43,scalene,acute,0.8667,10.7554,1.3077,26.95
triangles_original/004_T1.jpg,004,tilted,glass,66.3,86.7,76.5,74.38,58.19,47.43,scalene,acute,0.8667,10.7554,1.3077,26.95
triangles_original/005_P0.jpg,005,planar,none,56.2,59,34.7,76.94,34.95,68.11,scalene,acute,1.6196,33.1550,1.7003,41.98
triangles_original/005_P1.jpg,005,planar,glass,56.2,59,34.7,76.94,34.95,68.11,scalene,acute,1.6196,33.1550,1.7003,41.98
triangles_original/005_T0.jpg,005,tilted,none,56.2,59,34.7,76.94,34.95,68.11,scalene,acute,1.6196,33.1550,1.7003,41.98
triangles_original/005_T1.jpg,005,tilted,glass,56.2,59,34.7,76.94,34.95,68.11,scalene,acute,1.6196,33.1550,1.7003,41.98
triangles_original/006_P0.jpg,006,planar,none,93.8,114,93.1,75.17,52.14,52.69,scalene,acute,1.0075,0.5576,1.2245,23.04
triangles_original/006_P1.jpg,006,planar,glass,93.8,114,93.1,75.17,52.14,52.69,scalene,acute,1.0075,0.5576,1.2245,23.04
triangles_original/006_T0.jpg,006,tilted,none,93.8,114,93.1,75.17,52.14,52.69,scalene,acute,1.0075,0.5576,1.2245,23.04
triangles_original/006_T1.jpg,006,tilted,glass,93.8,114,93.1,75.17,52.14,52.69,scalene,acute,1.0075,0.5576,1.2245,23.04
triangles_original/007_P0.jpg,007,planar,none,34.3,114,120.2,71.41,92.02,16.57,scalene,obtuse,0.2854,75.4496,3.5044,75.45
triangles_original/007_P1.jpg,007,planar,iron,34.3,114,120.2,71.41,92.02,16.57,scalene,obtuse,0.2854,75.4496,3.5044,75.45
triangles_original/007_T0.jpg,007,tilted,none,34.3,114,120.2,71.41,92.02,16.57,scalene,obtuse,0.2854,75.4496,3.5044,75.45
triangles_original/007_T1.jpg,007,tilted,iron,34.3,114,120.2,71.41,92.02,16.57,scalene,obtuse,0.2854,75.4496,3.5044,75.45
triangles_original/008_P0.jpg,008,planar,none,93.8,55.7,90.4,35.14,69.09,75.77,scalene,acute,1.0376,6.6723,1.6840,40.63
triangles_original/008_P1.jpg,008,planar,iron,93.8,55.7,90.4,35.14,69.09,75.77,scalene,acute,1.0376,6.6723,1.6840,40.63
triangles_original/008_T0.jpg,008,tilted,none,93.8,55.7,90.4,35.14,69.09,75.77,scalene,acute,1.0376,6.6723,1.6840,40.63
triangles_original/008_T1.jpg,008,tilted,iron,93.8,55.7,90.4,35.14,69.09,75.77,scalene,acute,1.0376,6.6723,1.6840,40.63
triangles_original/009_P0.jpg,009,planar,none,42,39,45,53.13,67.38,59.49,scalene,acute,0.9333,7.8904,1.1538,14.25
triangles_original/009_P1.jpg,009,planar,iron,42,39,45,53.13,67.38,59.49,scalene,acute,0.9333,7.8904,1.1538,14.25
