img_original,side_type_3d,angle_type_3d,side_type_2d,angle_type_2d,gemini_2.5_pro_Q1_acc_3d,gemini_2.5_pro_Q1_acc_2d,gemini_2.5_flash_Q1_acc_3d,gemini_2.5_flash_Q1_acc_2d,openai_gpt_5_Q1_acc_3d,openai_gpt_5_Q1_acc_2d,qwen_2.5_32b_Q1_acc_3d,qwen_2.5_32b_Q1_acc_2d,gemini_2.5_pro_Q2_acc_3d,gemini_2.5_pro_Q2_acc_2d,gemini_2.5_flash_Q2_acc_3d,gemini_2.5_flash_Q2_acc_2d,openai_gpt_5_Q2_acc_3d,openai_gpt_5_Q2_acc_2d,qwen_2.5_32b_Q2_acc_3d,qwen_2.5_32b_Q2_acc_2d,gemini_2.5_pro_Q3_acc_3d,gemini_2.5_pro_Q3_acc_2d,gemini_2.5_flash_Q3_acc_3d,gemini_2.5_flash_Q3_acc_2d,openai_gpt_5_Q3_acc_3d,openai_gpt_5_Q3_acc_2d,qwen_2.5_32b_Q3_acc_3d,qwen_2.5_32b_Q3_acc_2d,gemini_2.5_pro_Q4_acc_3d,gemini_2.5_pro_Q4_acc_2d,gemini_2.5_flash_Q4_acc_3d,gemini_2.5_flash_Q4_acc_2d,openai_gpt_5_Q4_acc_3d,openai_gpt_5_Q4_acc_2d,qwen_2.5_32b_Q4_acc_3d,qwen_2.5_32b_Q4_acc_2d,gemini_2.5_pro_Q5_acc_3d,gemini_2.5_pro_Q5_acc_2d,gemini_2.5_flash_Q5_acc_3d,gemini_2.5_flash_Q5_acc_2d,openai_gpt_5_Q5_acc_3d,openai_gpt_5_Q5_acc_2d,qwen_2.5_32b_Q5_acc_3d,qwen_2.5_32b_Q5_acc_2d,gemini_2.5_pro_Q6_acc_3d,gemini_2.5_pro_Q6_acc_2d,gemini_2.5_flash_Q6_acc_3d,gemini_2.5_flash_Q6_acc_2d,openai_gpt_5_Q6_acc_3d,openai_gpt_5_Q6_acc_2d,qwen_2.5_32b_Q6_acc_3d,qwen_2.5_32b_Q6_acc_2d
triangles_original/001_P0.jpg,isosceles,acute,isosceles,acute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9059065934065935,0.8932376100046319,0.6567078754578755,0.6643121815655395,0.3195970695970697,0.300138953219083,0.3811813186813189,0.36243631310792046,0.9377677777777778,0.9320555555555555,0.8658994444444444,0.8716116666666667,0.9740544444444444,0.9797666666666667,0.9373705555555556,0.9430827777777778,0.9292080468551057,0.9367619373609447,0.508785332314744,0.49666267328427194,0.6597063067651303,0.6488105425295226,0.7995925642984467,0.7898339893890127,0.9522844444444445,0.955285,0.8703016666666666,0.8673011111111111,0.9607777777777777,0.9577772222222222,0.9501938888888889,0.9471933333333333
triangles_original/001_P1.jpg,isosceles,acute,isosceles,acute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9649725274725274,0.9671867829279486,0.8587454212454212,0.8607159247361174,0.8974358974358976,0.8949059201468564,0.3811813186813189,0.37746672785681523,0.9807338888888889,0.9803327777777778,0.9259527777777777,0.9255516666666667,0.9717927777777777,0.9721938888888889,0.9983788888888889,0.99878,0.9931245225362872,0.9766197912173239,0.868601986249045,0.8500560779915451,0.9530600118835412,0.9358985419722198,0.7995925642984467,0.7799154516435166,0.9935572222222222,0.9849105555555556,0.9387761111111111,0.9301294444444445,0.9947338888888889,0.9860872222222222,0.9311111111111111,0.9224644444444444
triangles_original/001_T0.jpg,isosceles,acute,scalene,acute,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9155219780219779,0.3939759036144579,0.980654761904762,0.211847389558233,0.5290750915750917,-0.5803212851405621,0.3811813186813189,-0.8397590361445781,0.9676472222222222,0.8079505555555555,0.9349533333333333,0.8406444444444445,0.9683788888888889,0.7439766666666667,0.9983788888888889,0.7739766666666666,0.9387148798913505,0.6226283551615954,0.14022578728461088,0.9089188785419055,0.837110601816484,0.6822369403914148,0.7995925642984467,0.7042477964244807,0.9804705555555555,0.8079505555555555,0.7493938888888889,0.9609727777777778,0.9877777777777778,0.7761988888888889,0.9311111111111111,0.85731
triangles_original/001_T1.jpg,isosceles,acute,scalene,acute,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6315247252747251,0.8979224930083901,0.8241758241758241,0.5617259288853378,0.5834478021978022,-0.47203355972832584,0.3811813186813189,-0.8250099880143822,0.783193888888889,0.9940155555555555,0.8960888888888889,0.8811205555555556,0.9963138888888888,0.7735233333333333,0.9983788888888889,0.7755883333333333,0.4615058144469908,0.9073842302878599,0.8218317630082336,0.6948685857321651,0.9086664969017909,0.6436545682102628,0.7995925642984467,0.7079849812265331,0.7960172222222223,0.9940155555555555,0.9089122222222222,0.8811205555555556,0.9980933333333334,0.7919394444444444,0.9311111111111111,0.8589216666666667
triangles_original/002_P0.jpg,isosceles,acute,isosceles,acute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5784135795879151,0.5733876151703451,0.5406213302017722,0.5425326762374116,0.6046759901782854,0.5997428755088923,0.4902316643535818,0.48489393614741816,0.8607627777777778,0.8608288888888889,0.80978,0.8098461111111112,0.94356,0.943626111111111,0.8888761111111111,0.8889422222222222,0.7527163731734734,0.7571401904050774,0.03362682652678928,0.040601082695538415,0.6970775571375047,0.7016987119656524,0.6753465717497192,0.6800448011946985,0.8607472222222222,0.8608288888888889,0.7330016666666667,0.7330833333333333,0.936811111111111,0.9368927777777778,0.8888605555555555,0.8889422222222222
triangles_original/002_P1.jpg,isosceles,acute,isosceles,acute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9381872531226646,0.939997868485559,0.5432902743674602,0.5423638495150804,0.6388384754990926,0.6411595438559097,0.4902316643535818,0.4928061387615903,0.9673633333333334,0.9702444444444445,0.7125627777777779,0.7096816666666667,0.9546266666666666,0.9517455555555555,0.9531266666666667,0.9502455555555556,0.8543461970775572,0.8549897023029395,0.15951667291120275,0.16055045871559626,0.7186212064443612,0.7193409473881296,0.6753465717497192,0.6760906197341323,0.9378561111111111,0.936355,0.7125472222222222,0.711046111111111,0.9335555555555556,0.9320544444444444,0.8697777777777778,0.8682766666666667
triangles_original/002_T0.jpg,isosceles,acute,isosceles,acute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4610867940642682,0.9595645412130638,0.6826091598163766,0.5794267940457677,0.7434610867940642,-0.6149744501221952,0.682075370983239,-0.7427238391468562,0.6852772222222223,0.934408888888889,0.8263072222222222,0.9245611111111112,0.9779155555555555,0.7729527777777778,0.949355,0.8015133333333333,-0.16888347695766193,0.9577800783184047,0.5348445110528288,0.7040554530314624,0.8338328962158112,0.5603816896970789,0.6355376545522669,0.6556690822343252,0.6852616666666667,0.934408888888889,0.8262916666666666,0.9245611111111112,0.9537222222222222,0.7971305555555556,0.9061294444444444,0.8447233333333333
triangles_original/002_T1.jpg,isosceles,acute,isosceles,acute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9590050176150315,-0.3547452306206229,-1.0372584605530055,-4.87032117845931,0.6463115191630191,-1.0620623037913548,0.682075370983239,-0.9811639700555419,0.98589,0.7117783333333333,0.4562072222222222,0.730318888888889,0.97856,0.7473283333333334,0.949355,0.7765333333333333,0.5966654177594606,0.6203726708074534,-0.6648557512176845,0.8219461697722567,0.7382914949419259,0.5577639751552794,0.5314724615961035,0.649192546583851,0.8542411111111111,0.8716316666666666,0.45619166666666666,0.730318888888889,0.9593611111111111,0.7665116666666667,0.9061294444444444,0.8197433333333333
triangles_original/003_P0.jpg,scalene,acute,scalene,acute,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8800398208063713,0.9043097151205259,0.9722498755599801,0.9945215485756027,0.08362369337979081,0.12515217920623323,0.24016923842707827,0.2783053323593866,0.96132,0.9732044444444444,0.9452383333333333,0.9571227777777778,0.9087383333333333,0.9206227777777778,0.9774333333333334,0.9893177777777777,0.5408318363962967,0.5697839777883116,0.8364653862097555,0.8198686259903841,0.8116622910045599,0.8352407394866932,0.9770623186403204,0.957675898963906,0.8934411111111111,0.8968061111111111,0.8916666666666666,0.8883016666666667,0.9573888888888888,0.9540238888888889,0.9238616666666667,0.9204966666666666
triangles_original/003_P1.jpg,scalene,acute,scalene,acute,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7455201592832255,0.7733025066926259,0.7415380786460924,0.7694086152348502,0.2951717272274762,0.3329277196398148,0.24016923842707827,0.2791433438792894,0.8362244444444444,0.8493494444444445,0.8429927777777778,0.8561177777777778,0.9087383333333333,0.9218633333333334,0.9774333333333334,0.9905583333333333,0.9246234627608125,0.9103462349500034,0.9656625673621666,0.9816339024556152,0.9982036755561697,0.986327460716958,0.9770623186403204,0.9619753758247738,0.9122288888888889,0.9112422222222222,0.9576861111111111,0.9566994444444444,0.8890555555555555,0.8880688888888889,0.9238616666666667,0.922875
