image_path,gemini_2.5_pro_response,gemini_2.5_flash_response,openai_gpt_5_response,qwen_2.5_32b_response
triangles_original/001_P0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.9558,
  ""abs_b_minus_c_deg"": 4.0900,
  ""max_over_min_side"": 1.0947,
  ""angle_range_deg"": 9.0112
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.5737,
  ""abs_b_minus_c_deg"": 39.4299,
  ""max_over_min_side"": 1.7568,
  ""angle_range_deg"": 40.9457
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4680,
  ""abs_b_minus_c_deg"": 19.9620,
  ""max_over_min_side"": 1.5790,
  ""angle_range_deg"": 24.6600
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 26.5651,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 26.5651
}
```"
triangles_original/001_T0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.8430,
  ""abs_b_minus_c_deg"": 18.7597,
  ""max_over_min_side"": 1.1862,
  ""angle_range_deg"": 18.7597
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.7502,
  ""abs_b_minus_c_deg"": 28.6203,
  ""max_over_min_side"": 1.3329,
  ""angle_range_deg"": 28.6203
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.9632,
  ""abs_b_minus_c_deg"": 10.2145,
  ""max_over_min_side"": 1.2334,
  ""angle_range_deg"": 18.5479
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/001_P1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.5517,
  ""abs_b_minus_c_deg"": 54.3169,
  ""max_over_min_side"": 1.8125,
  ""angle_range_deg"": 54.3169
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.7200,
  ""abs_b_minus_c_deg"": 33.9958,
  ""max_over_min_side"": 1.3880,
  ""angle_range_deg"": 33.9958
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2375,
  ""abs_b_minus_c_deg"": 14.6283,
  ""max_over_min_side"": 1.2857,
  ""angle_range_deg"": 17.9432
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/001_T1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.7998,
  ""abs_b_minus_c_deg"": 21.1153,
  ""max_over_min_side"": 1.2503,
  ""angle_range_deg"": 21.1153
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.8905,
  ""abs_b_minus_c_deg"": 27.0002,
  ""max_over_min_side"": 2.1910,
  ""angle_range_deg"": 62.7091
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2850,
  ""abs_b_minus_c_deg"": 9.6000,
  ""max_over_min_side"": 1.3700,
  ""angle_range_deg"": 15.4000
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/002_P0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.3316,
  ""abs_b_minus_c_deg"": 31.6255,
  ""max_over_min_side"": 1.3316,
  ""angle_range_deg"": 31.6255
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.5064,
  ""abs_b_minus_c_deg"": 40.8024,
  ""max_over_min_side"": 2.0993,
  ""angle_range_deg"": 54.6197
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.3070,
  ""abs_b_minus_c_deg"": 16.7220,
  ""max_over_min_side"": 1.3910,
  ""angle_range_deg"": 17.9340
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 26.5651,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 26.5651
}
```"
triangles_original/002_T0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.9946,
  ""abs_b_minus_c_deg"": 0.6882,
  ""max_over_min_side"": 1.2231,
  ""angle_range_deg"": 17.7459
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.5089,
  ""abs_b_minus_c_deg"": 58.3015,
  ""max_over_min_side"": 1.9649,
  ""angle_range_deg"": 58.3015
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2750,
  ""abs_b_minus_c_deg"": 14.7300,
  ""max_over_min_side"": 1.3680,
  ""angle_range_deg"": 18.5200
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/002_P1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.9751,
  ""abs_b_minus_c_deg"": 4.0230,
  ""max_over_min_side"": 1.4982,
  ""angle_range_deg"": 32.7966
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 2.8450,
  ""abs_b_minus_c_deg"": 104.4455,
  ""max_over_min_side"": 2.8450,
  ""angle_range_deg"": 104.4455
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2680,
  ""abs_b_minus_c_deg"": 10.4220,
  ""max_over_min_side"": 1.3470,
  ""angle_range_deg"": 13.8750
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2345,
  ""abs_b_minus_c_deg"": 15.6789,
  ""max_over_min_side"": 1.5678,
  ""angle_range_deg"": 23.4567
}
```"
triangles_original/002_T1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.4319,
  ""abs_b_minus_c_deg"": 63.2129,
  ""max_over_min_side"": 2.3155,
  ""angle_range_deg"": 63.2129
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.6394,
  ""abs_b_minus_c_deg"": 37.8275,
  ""max_over_min_side"": 1.5642,
  ""angle_range_deg"": 37.8275
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.1770,
  ""abs_b_minus_c_deg"": 10.5380,
  ""max_over_min_side"": 1.2450,
  ""angle_range_deg"": 14.8900
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2345,
  ""abs_b_minus_c_deg"": 15.6789,
  ""max_over_min_side"": 1.4567,
  ""angle_range_deg"": 23.4567
}
```"
triangles_original/003_P0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.9000,
  ""abs_b_minus_c_deg"": 23.6647,
  ""max_over_min_side"": 2.1120,
  ""angle_range_deg"": 59.4506
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.8259,
  ""abs_b_minus_c_deg"": 20.7700,
  ""max_over_min_side"": 1.2107,
  ""angle_range_deg"": 20.7700
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 1.5400,
  ""abs_b_minus_c_deg"": 14.2000,
  ""max_over_min_side"": 1.7200,
  ""angle_range_deg"": 32.6000
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 26.5651,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 26.5651
}
```"
triangles_original/003_T0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.0081,
  ""abs_b_minus_c_deg"": 1.1475,
  ""max_over_min_side"": 1.3383,
  ""angle_range_deg"": 24.4712
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.0113,
  ""abs_b_minus_c_deg"": 2.3658,
  ""max_over_min_side"": 1.4971,
  ""angle_range_deg"": 32.6535
}","{
""side_type"": ""scalene"",
""angle_type"": ""acute"",
""ab_over_ac"": 1.3700,
""abs_b_minus_c_deg"": 14.2000,
""max_over_min_side"": 1.4500,
""angle_range_deg"": 20.3000
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 26.5651,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 26.5651
}
```"
